kaggle_dataset,gcs_path
120-years-of-olympic-history-athletes-and-results,gs://kds-13d4a5bcae47b0032e064e7417d7eafa9c96500f6a207d6e1f2301fd
17k-apple-app-store-strategy-games,gs://kds-e860bd874ab698b870e2b987e1091aa0755d5862a13a632bb7c075b6
2016-us-election,gs://kds-cfa98b95a1976f9029c5394cd5f965acd49df14a09ef419887829841
2019-coronavirus-dataset-01212020-01262020,gs://kds-76d0f23d8bd758d64641484e14b74a9817581863e2737bfe8eb17fd2
256x256-melanoma-tfrecords-70k-images,gs://kds-ce0e5cb3286425aec39eb8968efc26f7b463490a5403b20078499206
384x384-melanoma-tfrecords-70k-images,gs://kds-c35196094e7de516f860d80038a53ea11c51dffb267f29b9870f48bb
512x512-melanoma-tfrecords-70k-images,gs://kds-2b801d1f55ee9e0d61d12a8450c8242b3e32acefab45b01fea8985c1
768x768-melanoma-tfrecords-70k-images,gs://kds-dc98756859a0adb210d1553f077f3ff37d588710e2ec608afa8a7bca
alaska2-public-baseline,gs://kds-804b98f214e9cc2ae7ae9b55b22b66499ac6de6dcf2c614eb529dd0d
amazon-fine-food-reviews,gs://kds-6876fb9c70d992161c43e7f1c609f717cb6aa8bc516444c608d4b69a
anime-recommendations-database,gs://kds-3d97880260aa4ecb8d6b78860266ed721aa20add5a0847dd234d6589
app-store-apple-data-set-10k-apps,gs://kds-f60154f388620b48bf0074ca8c6f5725e14ae4e69197242b85bdab7e
avocado-prices,gs://kds-a0daf5002aa2902919e80cbcb796de01c96392663d01c3da0bc485d3
bengal-5-fold,gs://kds-b2a2934c4d3a8138ab13d2821d93217558f2ab6237b4d8f4d6d46159
bengaliaicv19data,gs://kds-fba0c37be0dc2247f1e11832f5322ab7a32f7795d0fb63dd6598e4ce
bengalilabeltransforming,gs://kds-b99b2a7febc3dc5af983e3f01f2fbfa359798b4c51ff88c91df70a01
bengaliresnet50d128x128kfold,gs://kds-c92f7e3124828f972eb24c42c84ff24125b50a265c91934c36281d7b
best-artworks-of-all-time,gs://kds-dd20b92d51c57a173821993ce3b74c8a4db6033e59e0f10303d7743c
birdcall-check,gs://kds-abbc61e535ad5cfd7df456bdcd8dd73adb7b203fc06ca5d12ba44c50
bitcoin-historical-data,gs://kds-47964ed6c00c4763006cd0604e0a1da731f24b41a4324cc2d4a52e92
blood-cells,gs://kds-41d5a48cf127eac6bdeb84ba4c6ca7af335ab8d094af31f327979f8e
bowl2019publictest,gs://kds-b2611e60ea0384a3093a0b5ebcab7bfc765e8ce9db28e33fcbecc20b
brazilian-ecommerce,gs://kds-72278c9bdf35222cb72b5d16c413df2a2c6966121c957c6d46f34219
breast-cancer-wisconsin-data,gs://kds-d25e547d0425dc7141288ac1a6af13be1b342d3cdcd8fac16bacc04a
celeba-dataset,gs://kds-d7e10fd517e4f54b29e7086711d1ae37a682dd27ebf158184b9a0cf6
chest-xray-pneumonia,gs://kds-896e5a265040f8df265eb9dfc9ab0215f2119b4635bc8362d49cb3d6
chocolate-bar-ratings,gs://kds-0975227c2ac38210a739922c951dc666d2c7b0ddf83fa1a49043b64e
climate-change-earth-surface-temperature-data,gs://kds-ff1461993b9ad6676df2d2e5ae96e263c264eded6db214b4a8174662
cloud-classifiers,gs://kds-c90a040dd54063d6c1eabeb6f023fe32375112a5c91e52abc9e06ca2
cloud-images-resized,gs://kds-613c8f1fc8ff87859c5fa9cb919008aecef6c88396a7768d10f35445
cloudpred1,gs://kds-fc5162b549af6b882350a46dd29e537d628469fdf3b571dbf72c5040
college-salaries,gs://kds-d2a3706fa6c382903e985a260919b0243eb8697e634ac79a15ec87f8
coronavirusdataset,gs://kds-9169a0f3af76a5f38c1e746c29cd68a3df162b408b31908d4cd8a1b2
corona-virus-report,gs://kds-277843f1bd79872512b17d7037f72dd7dcfb023dc06ab98dc697c977
countries-of-the-world,gs://kds-2fa4293fc17dc49091c275bf37cf64954da3432ac8cc4367e5a2eb3c
covid19-in-india,gs://kds-bdfb3150bd235f2ac13a4cb88146eab321256cedfb9c3c810174d545
creditcardfraud,gs://kds-f100c1ef12f0a28bdbee4d896472a2801321c4058f0407184da29a46
crimes-in-boston,gs://kds-8fbf4a1a8588f1005014242489bbfad23365c8fe7f4ac646b670c235
customer-segmentation-tutorial-in-python,gs://kds-2f1300a36b2550572a8bd2aafffe451c86cda9ea2e59524ca1db2edb
data-science-cheat-sheets,gs://kds-61e2055dc8e9cd8e44560e41369d917261c666ff18a641abc5f56068
data-science-for-good,gs://kds-c87ae836acd902384ceea31ca66a3dda242c4d745e77e240f6da8709
data-science-for-good-kiva-crowdfunding,gs://kds-816fbc14988a4a4ed71a2e762a7c774c775912ccce7c034e986d7d26
data-without-drift,gs://kds-65b9a169dacc5b19100ff5d6edc981523670b9f5ffc60c89e7d8819f
default-of-credit-card-clients-dataset,gs://kds-3553e16543b39824761f59be24ac13a8985f30c1cb26e08957418466
diamonds,gs://kds-b16a9e958ab2c9e231423d0e4b41677f35c0892890d56fdafe92d3f2
dsbowl2019featurelake,gs://kds-76f1460746b1d6ddab9e585034155dd162bf8fe2b93285c2f54de32a
ecommerce-data,gs://kds-93b6b8a45181bfb1a039723793d1224309092e51a867567fdf7ed365
efficientdetpytorch,gs://kds-b1efc872faf90d9fe26fb1f9ba73bc322112bbc52e723befbb573c23
face-detector,gs://kds-9382abf87a314a306463af887ab091343cb641670b01ea5d0ad9a152
factorial-hmm,gs://kds-3c7c7cdd650c915f25b2d1f77232c99e23c0432f7a07c7a32ab810a1
fake-and-real-news-dataset,gs://kds-fdc1ecfdc766c93b83f13402073aff240219ec7d62703bb7762b0230
fashionmnist,gs://kds-53e050b4f48f1bae822d38b99dc5faa7888586d2cae0e0277f1a62f6
fasttext-300-russian-crawl-pickle,gs://kds-e6d3e41595df35203c38de126e7f4cdc8d316fe413bb1848f443d0cf
fifa19,gs://kds-950edd66c5accf5528eb0a91efc6ad512ddfb279ceec86aff8d68afe
fifa-world-cup,gs://kds-b25cc67c786f99b113a9c8735ca1ce1584e4f6585e41ed3c53b55d83
fivethirtyeight-comic-characters-dataset,gs://kds-ed21050eedab4d66642289fa64142d5bd6c5805f5cce82430c8d04c8
flight-delays,gs://kds-4039c0d334ddfa5a1382cbe88623fb19615f52ffe6984affc236cddb
flowers-recognition,gs://kds-692eb7bc5a86cb96b090718697b37a294400714c4f027dc147610145
forest-fires-in-brazil,gs://kds-1c67a132c4fa3ebb5716fdd8395bde1fbc23190ea9071f6ac212c6ab
game-of-thrones,gs://kds-1ee4ed2d9ef6b24527e38f9f6bb415a0c67c65fefcfc99dac34605c6
ghostnetbengali,gs://kds-e9285c8f94ddf699fb2d7b753e52f48d7bd93f6f34e7c9b9e777a824
goodreadsbooks,gs://kds-899d7fe488b3ed3307af8a37cae9deb9dbd83e68f66bde3077e137ff
google-play-store-apps,gs://kds-829235b0385d916f10ab778f176565fb95721d747d7827cec2219dcf
graduate-admissions,gs://kds-8872ab200149dc743500ffde4ea4830c42963cf698b5e291539fce29
gtd,gs://kds-420fcce4d3ab4bf10c6e45c3c7ce9b00aa4f92a63caa8b668921c35a
gun-violence-data,gs://kds-c4870f1564e5e485cbe8b7f38e5aa4b3c38240853450d045ad77ae7c
heart-disease-uci,gs://kds-85348df8105d97cb4da1663a72cd0a8a84534504e971e191973a71c2
hotel-booking-demand,gs://kds-5aec738d1ef14a49113a7c1a83cdfdc2615970821a4851d6f4435051
housesalesprediction,gs://kds-16b4dd8658bcc49f39a8d96089dad7b14fa6a0ba759724dfb07d8511
ibm-hr-analytics-attrition-dataset,gs://kds-ef23e7bad704a8897ae0c4fac43ad0ac587a396d92b3eef1e773a329
insurance,gs://kds-174dee1b105872df052c815b70ca8d33180934fd0d07d2ebe87628c7
international-football-results-from-1872-to-2017,gs://kds-1c2362cd5dabe5ca7bb17b40e8adfababe3efcd3a3a92541f9f6e1cf
io,gs://kds-78c5ad12f99347603e6cf27902a42d38d7b1fcaf09b2a218c14c2adc
ipl,gs://kds-0e854ec06ef19778658763ff563e5d5eb76308a2442c0c905232e8cc
iris,gs://kds-b5f1dbe66dca27a2c5f701ae3d8393b9157ca6b9d9e142226f4bcea2
isic2016,gs://kds-9ac2f237a2b36731b4fb68f1722a8a6714c806a6f5a0e58cde87e0b1
isic2017,gs://kds-be82ab74a014ea2500239b74636156ee51e28ba28b0b003f23930091
isic2018,gs://kds-16e1fa1af57142180184800a5a23a0373ec0bbbce7ae45379b87aa4e
isic-2019,gs://kds-f3c0af210570805156654013ea15b50acc7f32d0e81c0b2da7509f5f
isic2019-1024x1024,gs://kds-dd5bf3fbefb159e1b6fa1d24e7b1bf4e3d9656a7e98be1baf3f40115
isic2019-128x128,gs://kds-5724dc0cec78578bea6ce52d941cd2ab1b4405f37eb28dead07f2f07
isic2019-192x192,gs://kds-c883c4aabd939f506ae68e78c439089c3d6547e0207884653dc969b4
isic2019-256x256,gs://kds-c85f3ec67d1d7853bb9f2b928a1d69ac62ae7d52146c54a65b69f5bb
isic2019-384x384,gs://kds-9fc526a7f92f5454bc790655a916878883ad270d1e13c91e7d527659
isic2019-512x512,gs://kds-25423645f76650f9220fbd3613366c3c5a524b3a7d7663b6e3137c57
isic2019-768x768,gs://kds-d647c34c4541dfa651df0eeb57cb8f7702660f0881153486056f8448
isic-resnext50d-32x4d-public-checkpoints,gs://kds-58bcd2f1c324481421e44a8aedc07721d94c257c1dc6808eb15579e8
jigsaw-public-baseline-results,gs://kds-f01f05aed19b8fc16de853fa563bb1f9663dd430568de84fd67aa3f8
jigsaw-public-baseline-train-data,gs://kds-4e0d249e5e268ee97aa83d66328bf9e1e0c0c0c9ce1777dfddabfd0b
jpeg-isic2019-1024x1024,gs://kds-8d58289559263a040759cc53ebc797fca8979d6435f68a6d330ac881
jpeg-isic2019-128x128,gs://kds-d82cc8c369e8888561485b27c654d52f1162736e1b7ac6d16ca9efa4
jpeg-isic2019-192x192,gs://kds-8671b15bf402bf4ff23e0880bd61dc7794e8c7a04b5162dfc5b24f66
jpeg-isic2019-256x256,gs://kds-bca2672c4b61659e3d8aecf42428adb6039e27bbabcf74ce118b0c14
jpeg-isic2019-384x384,gs://kds-aab1ccf8fcddb82b49ee1601edf25b6d94648f33d5589b277eb8b5ea
jpeg-isic2019-512x512,gs://kds-71255fee04404d855f4379c00c70f618241fcc71ad595c8ccfe5df69
jpeg-isic2019-768x768,gs://kds-0a28f00c0ebd0ce3834a670c081c1855487325912a737be7b892102e
jpeg-melanoma-1024x1024,gs://kds-cc869b49e79801b6ebdec59b563129672655731ca1cc169de654eb1f
jpeg-melanoma-128x128,gs://kds-dc950d88dde039a52ddf59e75b3b0504a93a21c156cad2c5bae8da33
jpeg-melanoma-192x192,gs://kds-74b99b69cc2a54ec31d5633bfddd87e8b956be7b575457b0e1266c22
jpeg-melanoma-256x256,gs://kds-e11b6a683b481e5eb334e15f079e4276368b5d148731a199d380ae5c
jpeg-melanoma-384x384,gs://kds-6ee607d126b4383638602774f392e6811a78317d459f00a0717ef715
jpeg-melanoma-512x512,gs://kds-cdf4e8d5d7d68d73cecbf03598666ded6c5512405ecf6e12185ff460
jpeg-melanoma-768x768,gs://kds-5f3b59f76dd8ff37c326d94f69a5ad87ffda53760ad3778641643255
kaggle-survey-2017,gs://kds-81452a9075ae789e056cd5a0b5d02dcaf29a137ce67618ceaed94bf2
kaggle-survey-2018,gs://kds-e96ff75ffbc18a961d4c73a308b6f38bed64be9d88f118072ee41888
kdold-deepfake-effb2,gs://kds-97fa84d58424ee35cc5153f90823ca723665b576d57251cb77715675
kfolddeepfakeeffb2-flip,gs://kds-b95984a05dd4969d6f571b5bb2c0a0273c4238e1c0b230b99b3e3888
kickstarter-projects,gs://kds-e1b0a5d9ff52c39f1076c988d90096568be94eaae6b437238d57b84d
malignant-128x128,gs://kds-1aff281cc5656ab19428aa6677b137617d72670edf0e6aaaad396e33
malignant-192x192,gs://kds-651a83763e63d2b91f67e6cc25af7a4d4fa3c0e255e2bfd3181001cd
malignant2-256x256,gs://kds-9dfaec6dfe3907cdfcbfbbc67c257d96306bb896c7383c2920d32928
malignant-256x256,gs://kds-a0bc91d0c357ded29aaade45b1395be7516f9ac548b16951aa968ddd
malignant-384x384,gs://kds-fc47781df46c6e549683976d481d4b65ea8d2d1a414aa4845ffcc576
malignant-512x512,gs://kds-f129af7e4a946dfd1da4590cd697ff4b15fa767ac16ce99a6c9bc1c2
malignant-768x768,gs://kds-b237573f39767126095ad6d9f5f6862db78f103c082a35363a3fea7a
malignant-v2-1024x1024,gs://kds-d284f181c7472f4d3ca007bcb2e67824aa5a3a2a588d7a878bc30292
malignant-v2-128x128,gs://kds-b93eb56d5c85c18f6f06f5a084fc978a2a5d1c81f4d0b5e29bd6c344
malignant-v2-192x192,gs://kds-e08b6ced3b6701b1af15ac30468ddf5a757d8e1f61a8716cd62aa327
malignant-v2-256x256,gs://kds-09d584535d96ff3babd49c4c290b60f425bf44dba6103db85255cb65
malignant-v2-384x384,gs://kds-d865e7070f63d0bbb2fe08d16db2b817cd02fc99a1eae9b2dc345ac0
