kaggle_dataset_names,gcs_path,kaggle_dataset
siim-isic-melanoma-classification,gs://kds-f809fea39df606e89617cd8d8e4cacc083fb6e176982f0e5d69215a8,siim-isic-melanoma-classification
benhamner/2016-us-election,gs://kds-cfa98b95a1976f9029c5394cd5f965acd49df14a09ef419887829841,2016-us-election
cdeotte/data-without-drift,gs://kds-65b9a169dacc5b19100ff5d6edc981523670b9f5ffc60c89e7d8819f,data-without-drift
cdeotte/tf-roberta,gs://kds-0f9077770f00a17841525dda3027a7543a0a658f70308443c1fb86dd,tf-roberta
cdeotte/oxford-flowers-tfrecords,gs://kds-9aa893abda9aaa05b28596922337bac642b475f88e7a6db37316603c,oxford-flowers-tfrecords
cdeotte/rapids,gs://kds-e81488858c3425e2cb3f9eb36d42ac505981b97c02917bb2c898505c,rapids
cdeotte/malware-timestamps,gs://kds-506188ce93e53f99daff22618555feb47930bd655d0125525c9ea707,malware-timestamps
cdeotte/predictions,gs://kds-c69a4c49b25c5ae3be59a48edf53f5e47edc937f5e5b261930f8ca6d,predictions
cdeotte/malware-timestamps-2,gs://kds-22431f14880076cc17813d4a4c83b4cf8f6134df4a93392eb639ec60,malware-timestamps-2
cdeotte/cloud-classifiers,gs://kds-c90a040dd54063d6c1eabeb6f023fe32375112a5c91e52abc9e06ca2,cloud-classifiers
cdeotte/cloudpred1,gs://kds-fc5162b549af6b882350a46dd29e537d628469fdf3b571dbf72c5040,cloudpred1
cdeotte/cloud-images-resized,gs://kds-613c8f1fc8ff87859c5fa9cb919008aecef6c88396a7768d10f35445,cloud-images-resized
cdeotte/melanoma-v1-768x768,gs://kds-47e8de345f2ec15c4c0ccf8500ef7baae4bcf6f84bd07933ccba09ef,melanoma-v1-768x768
cdeotte/melanoma-v1-1024x1024,gs://kds-a395566fe01a4669d62c13e2a8b084927a499367f2f90e759b918c3e,melanoma-v1-1024x1024
cdeotte/melanoma-v1-128x128,gs://kds-9e0210b4855e2c78c3d5530f5d5e6455a946d7131b749ef7586308f4,melanoma-v1-128x128
cdeotte/melanoma-v1-192x192,gs://kds-ae6561f10c45515a44802146df8c15c2bee9d8614bad2d68a102daf7,melanoma-v1-192x192
cdeotte/melanoma-v1-256x256,gs://kds-b99de3bbf1d3442feecb1890c9dedd7f587e926bd2825f6411d5741b,melanoma-v1-256x256
cdeotte/melanoma-v1-384x384,gs://kds-a85d350c4dd449d9340aaf5d59068e0e68cd24915c0b85e3ca4babc8,melanoma-v1-384x384
cdeotte/melanoma-v1-512x512,gs://kds-bbd314755cedbc3425865821d26c77fe95749499c9a046bebc0fe1a3,melanoma-v1-512x512
cdeotte/malignant-v2-768x768,gs://kds-35b3c392330da0abffc562b4b5e539c735ce33c24fec68fafccf2328,malignant-v2-768x768
cdeotte/malignant-v2-128x128,gs://kds-04179540b7667c50f87e6cf3c4aae95fad60b4b6e2ef72a736caab0b,malignant-v2-128x128
cdeotte/malignant-v2-192x192,gs://kds-e08b6ced3b6701b1af15ac30468ddf5a757d8e1f61a8716cd62aa327,malignant-v2-192x192
cdeotte/tf-efficientnet-b4,gs://kds-df15b5515f6987b7b54b9821a691f602ef35c37d3c42da151cb5168d,tf-efficientnet-b4
cdeotte/jpeg-melanoma-128x128,gs://kds-dc950d88dde039a52ddf59e75b3b0504a93a21c156cad2c5bae8da33,jpeg-melanoma-128x128
cdeotte/jpeg-melanoma-192x192,gs://kds-ea0823664dc2520cdf7c0b9e60d7ac2b5b9a3c72672636db9155a484,jpeg-melanoma-192x192
cdeotte/jpeg-melanoma-256x256,gs://kds-e11b6a683b481e5eb334e15f079e4276368b5d148731a199d380ae5c,jpeg-melanoma-256x256
