kaggle_dataset_names,kaggle_dataset,gcs_path
siim-isic-melanoma-classification,siim-isic-melanoma-classification,gs://kds-f809fea39df606e89617cd8d8e4cacc083fb6e176982f0e5d69215a8
ardamavi/sign-language-digits-dataset,sign-language-digits-dataset,gs://kds-c18b1ce545920c4ae8215ed4d27b5d0f7750de61b4cb246d75d14ff0
benhamner/2016-us-election,2016-us-election,gs://kds-cfa98b95a1976f9029c5394cd5f965acd49df14a09ef419887829841
brendaso/2019-coronavirus-dataset-01212020-01262020,2019-coronavirus-dataset-01212020-01262020,gs://kds-76d0f23d8bd758d64641484e14b74a9817581863e2737bfe8eb17fd2
clmentbisaillon/fake-and-real-news-dataset,fake-and-real-news-dataset,gs://kds-fdc1ecfdc766c93b83f13402073aff240219ec7d62703bb7762b0230
fernandol/countries-of-the-world,countries-of-the-world,gs://kds-2fa4293fc17dc49091c275bf37cf64954da3432ac8cc4367e5a2eb3c
jessicali9530/stanford-dogs-dataset,stanford-dogs-dataset,gs://kds-e69a6044e7ebe7b38e48bfc0e878ef96edcfa8d43514d275d57e1cdb
jsphyg/weather-dataset-rattle-package,weather-dataset-rattle-package,gs://kds-c41f95f74dedd33381468f57c5f9cfa1d4d34479e57ee2a70b71a016
kaggle/sf-salaries,sf-salaries,gs://kds-4f6acdd9d946c98d16247f8998159d2c1916b7d552669faf3a3ee9b9
maxhorowitz/nflplaybyplay2009to2016,nflplaybyplay2009to2016,gs://kds-ef5d67935fae48f14b8fc06afd05e2a2ca91ecc30db06538a60246c3
miroslavsabo/young-people-survey,young-people-survey,gs://kds-41a91a9abfe42b671ae52adef4e34881d3c38f51d6ee6e6dc2842c70
paultimothymooney/blood-cells,blood-cells,gs://kds-41d5a48cf127eac6bdeb84ba4c6ca7af335ab8d094af31f327979f8e
pavanraj159/predicting-a-pulsar-star,predicting-a-pulsar-star,gs://kds-2df10e2b2c3ce25da1b1112b8f71d1c8feb155360574add26e26793f
rmisra/news-headlines-dataset-for-sarcasm-detection,news-headlines-dataset-for-sarcasm-detection,gs://kds-4ff1eef38c1512e5760d54b675b5aa727b2dce72268fb0f3b673a902
rtatman/chocolate-bar-ratings,chocolate-bar-ratings,gs://kds-0975227c2ac38210a739922c951dc666d2c7b0ddf83fa1a49043b64e
shivam2503/diamonds,diamonds,gs://kds-b16a9e958ab2c9e231423d0e4b41677f35c0892890d56fdafe92d3f2
shrutimehta/zomato-restaurants-data,zomato-restaurants-data,gs://kds-36d7ef84d7dda336f6ddfa0730546a6ab271431c75d2fd4da0669d25
uciml/default-of-credit-card-clients-dataset,default-of-credit-card-clients-dataset,gs://kds-3553e16543b39824761f59be24ac13a8985f30c1cb26e08957418466
zillow/zecon,zecon,gs://kds-0b615bddc6a0cd5c34271f3872a415705e26fe51fa16f311ecfa7159
cdeotte/cloud-classifiers,cloud-classifiers,gs://kds-c90a040dd54063d6c1eabeb6f023fe32375112a5c91e52abc9e06ca2
cdeotte/cloud-images-resized,cloud-images-resized,gs://kds-613c8f1fc8ff87859c5fa9cb919008aecef6c88396a7768d10f35445
cdeotte/cloudpred1,cloudpred1,gs://kds-fc5162b549af6b882350a46dd29e537d628469fdf3b571dbf72c5040
cdeotte/data-without-drift,data-without-drift,gs://kds-65b9a169dacc5b19100ff5d6edc981523670b9f5ffc60c89e7d8819f
cdeotte/jpeg-isic2019-128x128,jpeg-isic2019-128x128,gs://kds-d82cc8c369e8888561485b27c654d52f1162736e1b7ac6d16ca9efa4
cdeotte/jpeg-isic2019-192x192,jpeg-isic2019-192x192,gs://kds-8671b15bf402bf4ff23e0880bd61dc7794e8c7a04b5162dfc5b24f66
cdeotte/jpeg-isic2019-256x256,jpeg-isic2019-256x256,gs://kds-bca2672c4b61659e3d8aecf42428adb6039e27bbabcf74ce118b0c14
cdeotte/jpeg-isic2019-384x384,jpeg-isic2019-384x384,gs://kds-aab1ccf8fcddb82b49ee1601edf25b6d94648f33d5589b277eb8b5ea
cdeotte/jpeg-isic2019-512x512,jpeg-isic2019-512x512,gs://kds-71255fee04404d855f4379c00c70f618241fcc71ad595c8ccfe5df69
cdeotte/jpeg-isic2019-768x768,jpeg-isic2019-768x768,gs://kds-0a28f00c0ebd0ce3834a670c081c1855487325912a737be7b892102e
cdeotte/jpeg-melanoma-1024x1024,jpeg-melanoma-1024x1024,gs://kds-cc869b49e79801b6ebdec59b563129672655731ca1cc169de654eb1f
cdeotte/jpeg-melanoma-128x128,jpeg-melanoma-128x128,gs://kds-dc950d88dde039a52ddf59e75b3b0504a93a21c156cad2c5bae8da33
cdeotte/jpeg-melanoma-192x192,jpeg-melanoma-192x192,gs://kds-ea0823664dc2520cdf7c0b9e60d7ac2b5b9a3c72672636db9155a484
cdeotte/jpeg-melanoma-256x256,jpeg-melanoma-256x256,gs://kds-e11b6a683b481e5eb334e15f079e4276368b5d148731a199d380ae5c
cdeotte/jpeg-melanoma-384x384,jpeg-melanoma-384x384,gs://kds-6ee607d126b4383638602774f392e6811a78317d459f00a0717ef715
cdeotte/jpeg-melanoma-512x512,jpeg-melanoma-512x512,gs://kds-cdf4e8d5d7d68d73cecbf03598666ded6c5512405ecf6e12185ff460
cdeotte/jpeg-melanoma-768x768,jpeg-melanoma-768x768,gs://kds-5f3b59f76dd8ff37c326d94f69a5ad87ffda53760ad3778641643255
cdeotte/malignant-v2-1024x1024,malignant-v2-1024x1024,gs://kds-d284f181c7472f4d3ca007bcb2e67824aa5a3a2a588d7a878bc30292
cdeotte/malignant-v2-128x128,malignant-v2-128x128,gs://kds-04179540b7667c50f87e6cf3c4aae95fad60b4b6e2ef72a736caab0b
cdeotte/malignant-v2-192x192,malignant-v2-192x192,gs://kds-9230a9cb8d1249f74dc59e48f53dd6ce293ffa47e549c471dbdbb9a3
cdeotte/malignant-v2-256x256,malignant-v2-256x256,gs://kds-9e5912113bdca38bda75e6858a127bdfd0f26951b4f6843c45974106
cdeotte/malignant-v2-384x384,malignant-v2-384x384,gs://kds-c557c41c0102dc29c1ed0386c4746604d132a95f29eeacf42e522004
cdeotte/malignant-v2-512x512,malignant-v2-512x512,gs://kds-00457c0c555bfdd50b1d2db15abd7feb19d4795037f919a3dc0abbee
cdeotte/malignant-v2-768x768,malignant-v2-768x768,gs://kds-032edf427ad6e338f5392f73759ff404a1a3f25c2abdc4995136de30
cdeotte/malware-timestamps,malware-timestamps,gs://kds-506188ce93e53f99daff22618555feb47930bd655d0125525c9ea707
cdeotte/malware-timestamps-2,malware-timestamps-2,gs://kds-22431f14880076cc17813d4a4c83b4cf8f6134df4a93392eb639ec60
cdeotte/oxford-flowers-tfrecords,oxford-flowers-tfrecords,gs://kds-9aa893abda9aaa05b28596922337bac642b475f88e7a6db37316603c
cdeotte/predictions,predictions,gs://kds-c69a4c49b25c5ae3be59a48edf53f5e47edc937f5e5b261930f8ca6d
cdeotte/rapids,rapids,gs://kds-e81488858c3425e2cb3f9eb36d42ac505981b97c02917bb2c898505c
cdeotte/tf-roberta,tf-roberta,gs://kds-0f9077770f00a17841525dda3027a7543a0a658f70308443c1fb86dd
cdeotte/isic2019-1024x1024,isic2019-1024x1024,gs://kds-dd5bf3fbefb159e1b6fa1d24e7b1bf4e3d9656a7e98be1baf3f40115
cdeotte/isic2019-128x128,isic2019-128x128,gs://kds-1a6e98d443cd82cda860a7d4cc78518e49e258397002f296b8f387a9
cdeotte/isic2019-192x192,isic2019-192x192,gs://kds-acc91bccdc86d8c33d8f854565e6ef73d51c25aab79b4463a7f13dde
cdeotte/isic2019-256x256,isic2019-256x256,gs://kds-436e76b7e255e4499d5d11da9d7ab87646e271e08ec1d546f310ec00
cdeotte/isic2019-384x384,isic2019-384x384,gs://kds-6f9d2143e7fe97eccac0219c1aacb107a234b440670f250683ba40ee
cdeotte/isic2019-512x512,isic2019-512x512,gs://kds-203bea6cc14c2866536ac303b09a6e77a6b3d0a371e96b680836433c
cdeotte/isic2019-768x768,isic2019-768x768,gs://kds-79d9c56dcae7978f98a6bbe8318ac6866ba4778fc95c5871fcfd0f03
cdeotte/jpeg-isic2019-1024x1024,jpeg-isic2019-1024x1024,gs://kds-8d58289559263a040759cc53ebc797fca8979d6435f68a6d330ac881
cdeotte/malignant-128x128,malignant-128x128,gs://kds-1aff281cc5656ab19428aa6677b137617d72670edf0e6aaaad396e33
cdeotte/malignant-192x192,malignant-192x192,gs://kds-651a83763e63d2b91f67e6cc25af7a4d4fa3c0e255e2bfd3181001cd
cdeotte/malignant2-256x256,malignant2-256x256,gs://kds-9dfaec6dfe3907cdfcbfbbc67c257d96306bb896c7383c2920d32928
cdeotte/malignant-256x256,malignant-256x256,gs://kds-a0bc91d0c357ded29aaade45b1395be7516f9ac548b16951aa968ddd
cdeotte/malignant-384x384,malignant-384x384,gs://kds-c646cba6ccbccd24856408d6e73c9b716f402f451f5b861657d91ed4
cdeotte/malignant-512x512,malignant-512x512,gs://kds-f129af7e4a946dfd1da4590cd697ff4b15fa767ac16ce99a6c9bc1c2
cdeotte/malignant-768x768,malignant-768x768,gs://kds-b237573f39767126095ad6d9f5f6862db78f103c082a35363a3fea7a
cdeotte/melanoma-1024x1024,melanoma-1024x1024,gs://kds-6c7a250f2696ec7a21fab126dbe7072eb2176d50c396944eb9121399
